doco;dcto;pf_list;mcu_list
27001240;CA;PF0757, PF0189, PF0289, PF0765, PF0525, PF0986, PF0766, PF0998, PF1001, PF0775, PF1009, PF1014, PF1020, PF0776, PF0189, PF0289, PF0777, PF0525, PF0986, PF0778, PF0998, PF1001, PF1009, PF0779, PF1014, PF1020, PF0780, PF0189, PF0289, PF0781;MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI10,MI02,MI01,MI04,MI22,MI33,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI10,MI02,MI04,MI01,MI22,MI33,MI01,MI33,MI33,MI01
27001241;CA;PF0765, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0766, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0775;MI01,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01
27001242;CA;PF0766, PF0775, PF0776, PF0525, PF0777, PF0778, PF0779, PF0986, PF0780, PF0781, PF0998, PF0782, PF0783, PF0784, PF1001, PF0785, PF0786, PF0793;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI01,MI01,MI02,MI01,MI01,MI01
27001243;CA;PF0775, PF0986, PF0776, PF0998, PF0777, PF1001, PF1009, PF0778, PF1014, PF0779, PF1020, PF0189, PF0780, PF0289, PF0781, PF0525, PF0986, PF0782, PF0998, PF0783, PF1001, PF1009, PF0784, PF1014, PF0785;MI01,MI01,MI01,MI10,MI01,MI02,MI04,MI01,MI22,MI01,MI33,MI33,MI01,MI33,MI01,MI01,MI01,MI01,MI10,MI01,MI02,MI04,MI01,MI22,MI01
27001244;CA;PF0776, PF0998, PF0777, PF1001, PF0778, PF1009, PF1014, PF0779, PF1020, PF0780, PF0189, PF0289, PF0781, PF0525, PF0782, PF0986, PF0998, PF0783, PF1001, PF0784, PF1009, PF1014, PF0785, PF1020, PF0786;MI01,MI10,MI01,MI02,MI01,MI04,MI22,MI01,MI33,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI10,MI01,MI02,MI01,MI04,MI22,MI01,MI33,MI01
27001245;CA;PF0777, PF0778, PF1001, PF0779, PF0780, PF1009, PF0781, PF0782, PF1014, PF0783, PF0784, PF1020, PF0785, PF0189, PF0786, PF0793, PF0289, PF0794, PF0798, PF0525, PF0811, PF0817;MI01,MI01,MI02,MI01,MI01,MI04,MI01,MI01,MI22,MI01,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI33
27001246;CA;PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020;MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33
27001247;CA;PF0779, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0780;MI01,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01
27001248;CA;PF0780, PF0781, PF0782, PF1020, PF0783, PF0784, PF0189, PF0785, PF0786, PF0289, PF0793, PF0794, PF0798, PF0525, PF0811, PF0817, PF0986, PF0827, PF0833, PF0998, PF0850, PF0853, PF0854;MI01,MI01,MI01,MI33,MI01,MI01,MI33,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI10,MI01,MI01,MI01
27001249;CA;PF0781, PF0782, PF0189, PF0783, PF0289, PF0784, PF0525, PF0785, PF0786;MI01,MI01,MI33,MI01,MI33,MI01,MI01,MI01,MI01
27001250;CA;PF0289, PF0525, PF0986, PF0998, PF1001;MI33,MI01,MI01,MI10,MI02
27001251;CA;PF0783, PF0525, PF0986, PF0998, PF1001, PF1009;MI01,MI01,MI01,MI10,MI02,MI04
27001252;CA;PF0784, PF0986, PF0998;MI01,MI01,MI10
27001253;CA;PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020;MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33
27001254;CA;PF0786, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0793;MI01,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI01
27001255;CA;PF0793, PF1009, PF0794, PF1014, PF0798, PF1020, PF0811, PF0189, PF0817, PF0289, PF0827, PF0525, PF0986, PF0833, PF0998, PF0850, PF1001, PF0853, PF1009, PF0854, PF1014, PF0855;MI01,MI04,MI01,MI22,MI01,MI33,MI01,MI33,MI33,MI33,MI01,MI01,MI01,MI01,MI10,MI01,MI02,MI01,MI04,MI01,MI22,MI01
27001256;CA;PF0794, PF0798, PF1014, PF0811, PF1020, PF0817, PF0827;MI01,MI01,MI22,MI01,MI33,MI33,MI01
27001257;CA;PF0798, PF0811, PF0817, PF1020, PF0827, PF0833, PF0189, PF0850, PF0853, PF0289, PF0854, PF0855, PF0525, PF0870, PF0873, PF0986, PF0875, PF0876, PF0998, PF0880, PF0881, PF1001, PF0882, PF0883, PF0886;MI01,MI01,MI33,MI33,MI01,MI01,MI33,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI01,MI02,MI01,MI01,MI01
27001258;CA;PF0811, PF0189, PF0817, PF0289, PF0827, PF0525, PF0833;MI01,MI33,MI33,MI33,MI01,MI01,MI01
27001259;CA;PF0817, PF0289, PF0827, PF0525, PF0833, PF0986, PF0850, PF0998, PF0853;MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI10,MI01
27001260;CA;PF0827, PF0525, PF0833, PF0986, PF0850, PF0998, PF0853, PF1001, PF0854, PF1009, PF0855;MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI02,MI01,MI04,MI01
27001261;CA;PF0833, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0850;MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01
27001262;CA;PF0850, PF0998, PF1001, PF1009, PF1014, PF0853, PF1020, PF0189, PF0289, PF0525, PF0986, PF0854, PF0998, PF1001, PF1009, PF1014, PF0855;MI01,MI10,MI02,MI04,MI22,MI01,MI33,MI33,MI33,MI01,MI01,MI01,MI10,MI02,MI04,MI22,MI01
27001263;CA;PF0853, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0854, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0855;MI01,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01
27001264;CA;PF0854, PF1009, PF1014, PF0855, PF1020, PF0189, PF0870, PF0289, PF0525, PF0873, PF0986, PF0998, PF0875, PF1001, PF1009, PF0876, PF1014, PF1020, PF0880;MI01,MI04,MI22,MI01,MI33,MI33,MI01,MI33,MI01,MI01,MI01,MI10,MI01,MI02,MI04,MI01,MI22,MI33,MI01
27001265;CA;PF0855, PF1014, PF0870, PF1020, PF0873, PF0189, PF0875, PF0289, PF0876, PF0525, PF0880, PF0986, PF0881;MI01,MI22,MI01,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI01,MI01,MI01
27001266;CA;PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF1020, PF0882, PF0883, PF0886, PF0888, PF0889, PF0189, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896;MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01
27001267;CA;PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009;MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04
27001268;CA;PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020;MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33
27001269;CA;PF0876, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0880, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF0881;MI01,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI01
27001270;CA;PF0880, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289;MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33
27001271;CA;PF0881, PF0998, PF1001, PF1009, PF1014, PF0882;MI01,MI10,MI02,MI04,MI22,MI01
27001272;CA;PF0882, PF1001, PF0883, PF1009, PF0886, PF1014, PF0888, PF1020, PF0889, PF0189, PF0890, PF0289, PF0891, PF0525, PF0892, PF0986, PF0893;MI01,MI02,MI01,MI04,MI01,MI22,MI01,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI01,MI01,MI01
27001273;CA;PF0883, PF0886, PF0888, PF1009, PF0889, PF0890;MI01,MI01,MI01,MI04,MI01,MI01
27001274;CA;PF0886, PF0888, PF1014, PF0889, PF0890;MI01,MI01,MI22,MI01,MI01
27001275;CA;PF0888, PF1020, PF0189, PF0889;MI01,MI33,MI33,MI01
27001276;CA;PF0889, PF0890, PF0189, PF0891, PF0289, PF0892, PF0893;MI01,MI01,MI33,MI01,MI33,MI01,MI01
27001277;CA;PF0890, PF0289, PF0891, PF0525, PF0892, PF0986, PF0893;MI01,MI33,MI01,MI01,MI01,MI01,MI01
27001278;CA;PF0891, PF0525, PF0892, PF0986, PF0998, PF0893, PF1001, PF0895;MI01,MI01,MI01,MI01,MI10,MI01,MI02,MI01
27001279;CA;PF0892, PF0893, PF0986, PF0895, PF0998, PF0896, PF0902;MI01,MI01,MI01,MI01,MI10,MI01,MI01
27001280;CA;PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289;MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33
27001281;CA;PF0895, PF0896, PF1001, PF0902, PF1009, PF0905, PF0907, PF1014, PF0916, PF1020, PF0931, PF0939;MI01,MI01,MI02,MI01,MI04,MI01,MI01,MI22,MI01,MI33,MI01,MI01
27001282;CA;PF1009, PF1014, PF1020, PF0189;MI04,MI22,MI33,MI33
27001283;CA;PF0902, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0905;MI01,MI22,MI33,MI33,MI33,MI01,MI01,MI01
27001284;CA;PF0905, PF0907, PF1020, PF0916, PF0189, PF0931, PF0289, PF0939, PF0525, PF0948, PF0949, PF0986, PF0952, PF0998, PF0953, PF1001, PF0954, PF1009, PF0955, PF0956;MI01,MI01,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI33,MI01,MI01,MI10,MI01,MI02,MI01,MI04,MI01,MI01
27001285;CA;PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0189, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962;MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
27001286;CA;PF0916, PF0931, PF0939, PF0948, PF0289, PF0949, PF0952, PF0953, PF0525, PF0954, PF0955, PF0956, PF0986, PF0957, PF0958, PF0959, PF0960, PF0998, PF0961, PF0962, PF0963, PF1001, PF0977, PF0982, PF0983, PF1009, PF0984, PF0985, PF0995, PF0996;MI01,MI01,MI01,MI33,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI01,MI01,MI02,MI01,MI01,MI01,MI04,MI01,MI01,MI01,MI02
27001287;CA;PF0931, PF0525, PF0986, PF0939, PF0998, PF1001, PF1009, PF0948, PF1014, PF1020, PF0949;MI01,MI01,MI01,MI01,MI10,MI02,MI04,MI33,MI22,MI33,MI33
27001288;CA;PF0939, PF0986, PF0948, PF0998, PF0949, PF1001, PF0952, PF1009, PF0953, PF1014, PF0954, PF1020, PF0955;MI01,MI01,MI33,MI10,MI33,MI02,MI01,MI04,MI01,MI22,MI01,MI33,MI01
27001289;CA;PF0948, PF0998, PF1001, PF1009, PF1014, PF1020, PF0949;MI33,MI10,MI02,MI04,MI22,MI33,MI33
27001290;CA;PF0949, PF0952, PF0953, PF1001, PF0954, PF0955, PF0956, PF1009, PF0957, PF0958, PF1014, PF0959, PF0960, PF0961, PF1020, PF0962, PF0963, PF0977;MI33,MI01,MI01,MI02,MI01,MI01,MI01,MI04,MI01,MI01,MI22,MI01,MI01,MI01,MI33,MI01,MI01,MI01
27001291;CA;PF0952, PF0953, PF0954, PF1009, PF0955, PF0956, PF1014, PF0957, PF0958, PF1020, PF0959, PF0960, PF0961;MI01,MI01,MI01,MI04,MI01,MI01,MI22,MI01,MI01,MI33,MI01,MI01,MI01
27001292;CA;PF1014, PF1020, PF0189, PF0289, PF0525, PF0986;MI22,MI33,MI33,MI33,MI01,MI01
27001293;CA;PF0954, PF0955, PF0956, PF0957, PF1020, PF0958, PF0959, PF0960, PF0961, PF0189, PF0962, PF0963, PF0977, PF0289, PF0982, PF0983, PF0984, PF0985;MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01
27001294;CA;PF0189, PF0289, PF0525, PF0986;MI33,MI33,MI01,MI01
27001295;CA;PF0956, PF0957, PF0289, PF0958, PF0959, PF0525, PF0960, PF0986, PF0961, PF0962, PF0998, PF0963, PF0977, PF1001, PF0982, PF1009, PF0983, PF0984, PF1014, PF0985, PF0995, PF1020, PF0996, PF0189, PF0997, PF0999, PF0289, PF1000, PF1002;MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI01,MI02,MI01,MI04,MI01,MI01,MI22,MI01,MI01,MI33,MI02,MI33,MI04,MI22,MI33,MI40,MI04
27001296;CA;PF0957, PF0525, PF0986, PF0998, PF1001, PF1009, PF0958, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0959, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0960, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF0961;MI01,MI01,MI01,MI10,MI02,MI04,MI01,MI22,MI33,MI33,MI33,MI01,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI01,MI33,MI01,MI01,MI10,MI02,MI04,MI01
27001297;CA;PF0958, PF0959, PF0960, PF0961, PF0962, PF0986, PF0963, PF0977, PF0982, PF0983, PF0998, PF0984, PF0985, PF0995, PF0996, PF0997, PF1001, PF0999, PF1000, PF1002, PF1003, PF1009, PF1004, PF1005, PF1006, PF1007, PF1008;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI10,MI01,MI01,MI01,MI02,MI04,MI02,MI22,MI40,MI04,MI10,MI04,MI22,MI40,MI02,MI33,MI01
27001298;CA;PF0959, PF0998, PF1001, PF1009, PF1014, PF1020;MI01,MI10,MI02,MI04,MI22,MI33
27001299;CA;PF0960, PF0961, PF1001, PF0962, PF1009, PF0963, PF0977, PF1014, PF0982, PF1020, PF0983, PF0984, PF0189, PF0985, PF0289, PF0995, PF0525, PF0996, PF0997, PF0986, PF0999, PF0998, PF1000, PF1002;MI01,MI01,MI02,MI01,MI04,MI01,MI01,MI22,MI01,MI33,MI01,MI01,MI33,MI01,MI33,MI01,MI01,MI02,MI04,MI01,MI22,MI10,MI40,MI04
27001300;CA;PF0961, PF0962, PF1009, PF0963;MI01,MI01,MI04,MI01
27001301;CA;PF0962, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0963;MI01,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI01
27001302;CA;PF0963, PF0977, PF0982, PF1020, PF0983, PF0984, PF0189, PF0985, PF0995, PF0289, PF0996, PF0997, PF0525, PF0999, PF1000, PF0986, PF1002, PF1003, PF1004;MI01,MI01,MI01,MI33,MI01,MI01,MI33,MI01,MI01,MI33,MI02,MI04,MI01,MI22,MI40,MI01,MI04,MI10,MI22
27001303;CA;PF0977, PF0982, PF0983, PF0984, PF0189, PF0985, PF0995, PF0996, PF0997;MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI02,MI04
27001304;CA;PF0982, PF0289, PF0525, PF0986, PF0983, PF0998, PF1001, PF1009, PF0984, PF1014, PF1020, PF0189, PF0985;MI01,MI33,MI01,MI01,MI01,MI10,MI02,MI04,MI01,MI22,MI33,MI33,MI01
27001305;CA;PF0983, PF0984, PF0525, PF0985, PF0986, PF0995, PF0996, PF0998, PF0997, PF1001, PF0999, PF1009, PF1000, PF1002, PF1014, PF1003, PF1020, PF1004, PF0189, PF1005, PF1006;MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI10,MI04,MI02,MI22,MI04,MI40,MI04,MI22,MI10,MI33,MI22,MI33,MI40,MI02
27001306;CA;PF0984, PF0986, PF0998, PF1001, PF1009, PF0985, PF1014, PF1020, PF0189, PF0289, PF0525, PF0995, PF0986, PF0998, PF1001, PF1009, PF0996;MI01,MI01,MI10,MI02,MI04,MI01,MI22,MI33,MI33,MI33,MI01,MI01,MI01,MI10,MI02,MI04,MI02
27001307;CA;PF0985, PF0995, PF0996, PF0998, PF0997, PF0999, PF1001, PF1000, PF1002;MI01,MI01,MI02,MI10,MI04,MI22,MI02,MI40,MI04
27001308;CA;PF0995, PF1001, PF0996, PF1009, PF1014, PF0997, PF1020, PF0189, PF0999, PF0289, PF1000, PF0525, PF0986, PF1002, PF0998, PF1001, PF1003, PF1009, PF1014, PF1004, PF1020, PF1005, PF0189, PF0289, PF1006, PF0525, PF0986, PF1007, PF0998, PF1008;MI01,MI02,MI02,MI04,MI22,MI04,MI33,MI33,MI22,MI33,MI40,MI01,MI01,MI04,MI10,MI02,MI10,MI04,MI22,MI22,MI33,MI40,MI33,MI33,MI02,MI01,MI01,MI33,MI10,MI01
27001309;CA;PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009;MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04
27001310;CA;PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998;MI22,MI33,MI33,MI33,MI01,MI01,MI10
27001311;CA;PF1020, PF0189, PF0289;MI33,MI33,MI33
27001312;CA;PF1000, PF0189, PF0289, PF1002, PF0525, PF0986, PF0998, PF1003, PF1001, PF1009, PF1014, PF1004, PF1020, PF0189, PF1005;MI40,MI33,MI33,MI04,MI01,MI01,MI10,MI10,MI02,MI04,MI22,MI22,MI33,MI33,MI40
27001313;CA;PF1002, PF0289, PF0525, PF1003, PF0986, PF0998, PF1004, PF1001, PF1009, PF1014, PF1005, PF1020, PF0189, PF1006, PF0289, PF0525, PF1007, PF0986, PF0998, PF1001, PF1008, PF1009, PF1014, PF1010, PF1020, PF0189, PF1011;MI04,MI33,MI01,MI10,MI01,MI10,MI22,MI02,MI04,MI22,MI40,MI33,MI33,MI02,MI33,MI01,MI33,MI01,MI10,MI02,MI01,MI04,MI22,MI22,MI33,MI33,MI40
27001314;CA;PF1003, PF0525, PF0986, PF0998, PF1001, PF1009, PF1004, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF1005, PF0998, PF1001, PF1009, PF1014, PF1020, PF1006;MI10,MI01,MI01,MI10,MI02,MI04,MI22,MI22,MI33,MI33,MI33,MI01,MI01,MI40,MI10,MI02,MI04,MI22,MI33,MI02
27001315;CA;PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF0986, PF1011, PF1012, PF1013, PF1015, PF1016, PF0998, PF1017, PF1018, PF1019, PF0192, PF0227, PF1001, PF0245, PF0288, PF0301, PF0308, PF0360;MI22,MI40,MI02,MI33,MI01,MI22,MI01,MI40,MI10,MI02,MI04,MI40,MI10,MI02,MI10,MI22,MI33,MI33,MI02,MI01,MI33,MI01,MI33,MI01
27001316;CA;PF1005, PF1006, PF0998, PF1007, PF1001, PF1008, PF1009, PF1010, PF1014, PF1011, PF1012;MI40,MI02,MI10,MI33,MI02,MI01,MI04,MI22,MI22,MI40,MI10
27001317;CA;PF1006, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525;MI02,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01
27001318;CA;PF1007, PF1008, PF1009, PF1010, PF1014, PF1011, PF1012, PF1020, PF1013, PF0189, PF1015, PF1016;MI33,MI01,MI04,MI22,MI22,MI40,MI10,MI33,MI02,MI33,MI04,MI40
27001319;CA;PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019, PF0192, PF0227, PF1014, PF0245, PF0288, PF0301, PF0308, PF0360, PF0361, PF0413, PF0415, PF0483, PF0488, PF0524;MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22,MI33,MI33,MI22,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI33,MI01,MI33,MI01
27001320;CA;PF1010, PF1011, PF1012, PF1020, PF1013, PF1015, PF1016, PF0189, PF1017, PF1018, PF0289, PF1019, PF0192, PF0227, PF0525, PF0245, PF0288, PF0986, PF0301, PF0308, PF0360;MI22,MI40,MI10,MI33,MI02,MI04,MI40,MI33,MI02,MI10,MI33,MI22,MI33,MI33,MI01,MI01,MI33,MI01,MI01,MI33,MI01
27001321;CA;PF1011, PF1012, PF0189, PF1013, PF0289, PF1015;MI40,MI10,MI33,MI02,MI33,MI04
27001322;CA;PF0289, PF0525, PF0986, PF0998;MI33,MI01,MI01,MI10
27001323;CA;PF1013, PF0525, PF1015, PF0986, PF0998, PF1016, PF1001, PF1017, PF1009, PF1014, PF1018, PF1020, PF1019;MI02,MI01,MI04,MI01,MI10,MI40,MI02,MI02,MI04,MI22,MI10,MI33,MI22
27001324;CA;PF1015, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525;MI04,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01
27001325;CA;PF1016, PF1017, PF1018, PF1019, PF0998, PF0192, PF0227, PF0245, PF1001, PF0288, PF0301, PF0308, PF1009, PF0360, PF0361, PF0413, PF0415, PF1014, PF0483, PF0488, PF0524, PF1020, PF0526, PF0530, PF0533, PF0189, PF0582, PF0584, PF0624, PF0686;MI40,MI02,MI10,MI22,MI10,MI33,MI33,MI01,MI02,MI33,MI01,MI33,MI04,MI01,MI01,MI33,MI33,MI22,MI01,MI33,MI01,MI33,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01
27001326;CA;PF1017, PF1018, PF1019, PF0192, PF0227, PF0245, PF1001, PF0288, PF0301, PF0308, PF0360, PF0361, PF1009, PF0413, PF0415, PF0483, PF0488, PF0524, PF1014, PF0526, PF0530, PF0533, PF0582, PF0584;MI02,MI10,MI22,MI33,MI33,MI01,MI02,MI33,MI01,MI33,MI01,MI01,MI04,MI33,MI33,MI01,MI33,MI01,MI22,MI01,MI01,MI01,MI01,MI01
27001327;CA;PF1018, PF1019, PF1009, PF0192, PF1014, PF0227, PF1020, PF0245, PF0189, PF0288, PF0289, PF0301, PF0525, PF0308, PF0360, PF0986, PF0361, PF0998, PF0413, PF1001, PF0415, PF1009, PF0483, PF1014, PF0488, PF1020, PF0524, PF0189, PF0526, PF0530;MI10,MI22,MI04,MI33,MI22,MI33,MI33,MI01,MI33,MI33,MI33,MI01,MI01,MI33,MI01,MI01,MI01,MI10,MI33,MI02,MI33,MI04,MI01,MI22,MI33,MI33,MI01,MI33,MI01,MI01
27001328;CA;PF1019, PF0192, PF1014, PF0227, PF0245, PF1020, PF0288, PF0301, PF0189, PF0308, PF0360, PF0289, PF0361, PF0413, PF0525, PF0415, PF0483, PF0986, PF0488, PF0524;MI22,MI33,MI22,MI33,MI01,MI33,MI33,MI01,MI33,MI33,MI01,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI01
27001329;CA;PF0192, PF0227, PF1020, PF0245, PF0189, PF0288, PF0289, PF0301, PF0525, PF0308;MI33,MI33,MI33,MI01,MI33,MI33,MI33,MI01,MI01,MI33
27001330;CA;PF0227, PF0189, PF0245, PF0289, PF0288, PF0525, PF0986, PF0301, PF0998, PF0308, PF1001, PF1009, PF0360, PF1014, PF0361;MI33,MI33,MI01,MI33,MI33,MI01,MI01,MI01,MI10,MI33,MI02,MI04,MI01,MI22,MI01
27001331;CA;PF0245, PF0289, PF0288, PF0525, PF0986, PF0301, PF0998, PF1001, PF0308, PF1009, PF1014, PF0360, PF1020, PF0189, PF0361;MI01,MI33,MI33,MI01,MI01,MI01,MI10,MI02,MI33,MI04,MI22,MI01,MI33,MI33,MI01
27001332;CA;PF0288, PF0525, PF0986, PF0998, PF1001, PF0301, PF1009, PF1014, PF1020, PF0189, PF0308;MI33,MI01,MI01,MI10,MI02,MI01,MI04,MI22,MI33,MI33,MI33
27001333;CA;PF0301, PF0986, PF0308, PF0998, PF0360, PF1001, PF0361, PF1009, PF0413, PF1014, PF0415, PF1020, PF0189, PF0483, PF0289, PF0488, PF0525, PF0524, PF0986, PF0526, PF0998, PF0530;MI01,MI01,MI33,MI10,MI01,MI02,MI01,MI04,MI33,MI22,MI33,MI33,MI33,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI10,MI01
27001334;CA;PF0308, PF0998, PF1001, PF0360, PF1009, PF1014, PF1020, PF0361;MI33,MI10,MI02,MI01,MI04,MI22,MI33,MI01
27001335;CA;PF0360, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF1009, PF1014, PF1020, PF0189, PF0289, PF0525, PF0986, PF0998, PF1001, PF0361;MI01,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI04,MI22,MI33,MI33,MI33,MI01,MI01,MI10,MI02,MI01
27001336;CA;PF0361, PF1009, PF0413, PF1014, PF1020, PF0415, PF0189, PF0289, PF0483, PF0525, PF0986, PF0488, PF0998, PF1001, PF0524, PF1009, PF1014, PF0526;MI01,MI04,MI33,MI22,MI33,MI33,MI33,MI33,MI01,MI01,MI01,MI33,MI10,MI02,MI01,MI04,MI22,MI01
27001337;CA;PF1014, PF1020;MI22,MI33
